"id","district_nut","fullname","shortname","zip","use"
"488","SK042B","Čierna nad Tisou","Čierna nad Tisou","076 43","1"
"489","SK0212","Čierna Voda","Čierna Voda","925 06","1"
"490","SK0311","Čierne","Čierne","013 55","1"
"491","SK0312","Čierne","Čierne","023 13","1"
"492","SK0312","Čierne","Čierne","023 56","1"
"493","SK0237","Čierne Kľačany","Čierne Kľačany","953 05","1"
"494","SK041D","Čierne nad Topľou","Čierne nad Topľou","094 34","1"
"495","SK0427","Čierne Pole","Čierne Pole","079 01","1"
"496","SK0323","Čierny Balog","Čierny Balog","976 52","1"
"497","SK0212","Čierny Brod","Čierny Brod","925 08","1"
"498","SK0231","Čierny Chrbát","Čierny Chrbát","946 03","1"
"499","SK0329","Čierny Potok","Čierny Potok","980 31","1"
"500","SK0315","Čierny Váh","Čierny Váh","032 33","1"
